Date,Open,Stock_Name,High,Low,Close,Adj_Close,Volume
2021-07-06,140.07,AAPL,143.15,140.07,142.02,138.43428,108181800
2021-07-06,278.03,MSFT,279.37,274.3,277.66,266.46936,31565600
2021-07-06,433.78,SPY,434.01,430.01,432.93,404.62964,68710400
2021-07-07,143.54,AAPL,144.89,142.66,144.57,140.9199,104911600
2021-07-07,279.4,MSFT,280.69,277.15,279.93,268.6479,23260000
2021-07-07,433.66,SPY,434.76,431.51,434.46,406.05966,63549500
2021-07-08,141.58,AAPL,144.06,140.67,143.24,139.62346,105575500
2021-07-08,276.9,MSFT,278.73,274.87,277.42,266.2391,24618600
2021-07-08,428.78,SPY,431.73,427.52,430.92,402.7511,97595200
2021-07-09,142.75,AAPL,145.65,142.65,145.11,141.44623,99890800
2021-07-09,275.72,MSFT,278.05,275.32,277.94,266.7381,23916700
2021-07-09,432.53,SPY,435.84,430.71,435.52,407.0504,76238600
2021-07-12,146.21,AAPL,146.32,144.0,144.5,140.85164,76299700
2021-07-12,279.16,MSFT,279.77,276.58,277.32,266.14307,18931700
2021-07-12,435.43,SPY,437.35,434.97,437.08,408.50836,52889600
2021-07-13,144.03,AAPL,147.46,143.63,145.64,141.96286,100827100
2021-07-13,277.52,MSFT,282.85,277.39,280.98,269.65558,26120100
2021-07-13,436.24,SPY,437.84,435.31,435.59,407.11578,52911300
2021-07-14,148.1,AAPL,149.57,147.68,149.15,145.38423,127050800
2021-07-14,282.35,MSFT,283.66,280.55,282.51,271.12393,23113700
2021-07-14,437.4,SPY,437.92,434.91,436.24,407.7233,64130400
2021-07-15,149.24,AAPL,150.0,147.09,148.48,144.73116,106820300
2021-07-15,282.0,MSFT,282.51,279.83,281.03,269.70358,22604200
2021-07-15,434.81,SPY,435.53,432.72,434.75,406.33066,55126400
2021-07-16,148.46,AAPL,149.76,145.88,146.39,142.69391,93251400
2021-07-16,282.07,MSFT,284.1,279.46,280.75,269.43484,26186800
2021-07-16,436.01,SPY,436.06,430.92,431.34,403.14365,75874700
2021-07-19,143.75,AAPL,144.07,141.67,142.45,138.85341,121434600
2021-07-19,278.93,MSFT,280.37,274.45,277.01,265.84567,32935600
2021-07-19,426.19,SPY,431.41,421.97,424.97,397.19003,147987000
2021-07-20,143.46,AAPL,147.1,142.96,146.15,142.45999,96350000
2021-07-20,278.03,MSFT,280.97,276.26,279.32,268.06247,26259700
2021-07-20,425.68,SPY,432.42,424.83,431.06,402.88196,99608200
2021-07-21,145.53,AAPL,146.13,144.63,145.4,141.72891,74993500
2021-07-21,278.9,MSFT,281.52,277.29,281.4,270.05872,24364300
2021-07-21,432.34,SPY,434.7,431.01,434.55,406.1437,64724400
2021-07-22,145.94,AAPL,148.2,145.81,146.8,143.09357,77338200
2021-07-22,283.84,MSFT,286.42,283.42,286.14,274.60767,23384100
2021-07-22,434.74,SPY,435.72,433.69,435.46,406.99435,47878500
2021-07-23,147.55,AAPL,148.72,146.92,148.56,144.80913,71447400
2021-07-23,287.37,MSFT,289.99,286.5,289.67,277.99536,22768100
2021-07-23,437.52,SPY,440.3,436.79,439.94,411.1814,63766600
2021-07-26,148.27,AAPL,149.83,147.7,148.99,145.22829,72434100
2021-07-26,289.0,MSFT,289.69,286.64,289.05,277.40036,23176100
2021-07-26,439.31,SPY,441.03,439.26,441.02,412.19083,43719200
2021-07-27,149.12,AAPL,149.21,145.55,146.77,143.06435,104818600
2021-07-27,289.43,MSFT,289.58,282.95,286.54,274.99146,33604100
2021-07-27,439.91,SPY,439.94,435.99,439.01,410.3122,67397100
2021-07-28,144.81,AAPL,146.97,142.54,144.98,141.31952,118931200
2021-07-28,288.99,MSFT,290.15,283.83,286.22,274.6844,33566900
2021-07-28,439.68,SPY,440.3,437.31,438.83,410.14398,52472400
2021-07-29,144.69,AAPL,146.55,144.58,145.64,141.96286,56699500
2021-07-29,286.24,MSFT,288.62,286.08,286.5,274.9531,18168300
2021-07-29,439.82,SPY,441.8,439.81,440.65,411.8451,47435300
2021-07-30,144.38,AAPL,146.33,144.11,145.86,142.1773,70440600
2021-07-30,285.17,MSFT,286.66,283.91,284.91,273.42715,20944800
2021-07-30,437.91,SPY,440.06,437.77,438.51,409.84497,68951200
2021-08-02,146.36,AAPL,146.95,145.25,145.52,141.84595,62880000
2021-08-02,286.36,MSFT,286.77,283.74,284.82,273.34085,16267400
2021-08-02,440.34,SPY,440.93,437.21,437.59,408.98508,58783300
2021-08-03,145.81,AAPL,148.04,145.18,147.36,143.6394,64786600
2021-08-03,285.42,MSFT,287.23,284.0,287.12,275.5482,17879000
2021-08-03,438.44,SPY,441.28,436.1,441.15,412.31244,58053900
2021-08-04,147.27,AAPL,147.79,146.28,146.95,143.23979,56368300
2021-08-04,286.22,MSFT,287.59,284.65,286.51,274.9627,16191300
2021-08-04,439.78,SPY,441.12,438.73,438.98,410.28424,46732200
2021-08-05,146.98,AAPL,147.84,146.17,147.06,143.347,46397700
2021-08-05,286.88,MSFT,289.63,286.1,289.52,277.85144,13900200
2021-08-05,440.22,SPY,441.85,439.88,441.76,412.8825,38969700
2021-08-06,146.35,AAPL,147.11,145.63,146.14,142.66365,54126800
2021-08-06,288.51,MSFT,289.5,287.62,289.46,277.79382,16589300
2021-08-06,442.1,SPY,442.94,441.8,442.49,413.56476,46930000
2021-08-09,146.2,AAPL,146.7,145.52,146.09,142.61487,48908700
2021-08-09,289.75,MSFT,291.55,287.81,288.33,276.70935,16117600
2021-08-09,442.46,SPY,442.8,441.31,442.13,413.22833,41222600
2021-08-10,146.44,AAPL,147.71,145.3,145.6,142.13654,69023100
2021-08-10,288.8,MSFT,289.25,285.2,286.44,274.89557,18616600
2021-08-10,442.61,SPY,443.44,441.88,442.68,413.7423,43339300
2021-08-11,146.05,AAPL,146.72,145.53,145.86,142.3903,48493500
2021-08-11,287.21,MSFT,288.66,285.86,286.95,275.38504,13955900
2021-08-11,443.82,SPY,443.88,442.62,443.78,414.77045,44034300
2021-08-12,146.19,AAPL,149.05,145.84,148.89,145.34825,72282600
2021-08-12,286.63,MSFT,289.97,286.34,289.81,278.12967,14561300
2021-08-12,443.62,SPY,445.26,442.66,445.11,416.01352,38909400
2021-08-13,148.97,AAPL,149.44,148.27,149.1,145.55325,59375000
2021-08-13,289.48,MSFT,292.9,289.3,292.85,281.04718,18249000
2021-08-13,445.59,SPY,445.94,445.07,445.92,416.77054,39470300
2021-08-16,148.54,AAPL,151.19,146.47,151.12,147.52518,103296000
2021-08-16,293.19,MSFT,294.82,290.02,294.6,282.72662,22507600
2021-08-16,444.53,SPY,447.11,442.87,446.97,417.75192,73740000
2021-08-17,150.23,AAPL,151.68,149.09,150.19,146.61734,92229700
2021-08-17,292.39,MSFT,293.43,291.08,293.08,281.26788,20075300
2021-08-17,444.24,SPY,444.96,440.85,444.04,415.0134,92673900
2021-08-18,149.8,AAPL,150.72,146.15,146.36,142.87845,86326000
2021-08-18,292.04,MSFT,294.82,290.27,290.73,279.5468,21813000
2021-08-18,442.96,SPY,444.63,438.92,439.18,410.47104,89351900
2021-08-19,145.03,AAPL,148.0,144.5,146.7,143.21033,86960300
2021-08-19,288.69,MSFT,297.47,288.64,296.77,285.3544,29850500
2021-08-19,436.27,SPY,441.14,436.12,439.86,411.1067,92812200
2021-08-20,147.44,AAPL,148.5,146.78,148.19,144.66492,60549600
2021-08-20,299.72,MSFT,305.84,298.06,304.36,292.65244,40817600
2021-08-20,440.23,SPY,443.71,439.71,443.36,414.3779,72008700
2021-08-23,148.31,AAPL,150.19,147.89,149.71,146.14874,60131800
2021-08-23,303.25,MSFT,305.4,301.85,304.65,292.93127,22830200
2021-08-23,445.16,SPY,448.23,443.44,447.26,418.02292,54973000
2021-08-24,149.45,AAPL,150.86,149.15,149.62,146.06088,48606400
2021-08-24,305.02,MSFT,305.65,302.0,302.62,290.9794,18175800
2021-08-24,447.97,SPY,448.54,447.42,447.97,418.68655,38744700
2021-08-25,149.81,AAPL,150.32,147.8,148.36,144.83087,58991300
2021-08-25,304.3,MSFT,304.59,300.42,302.01,290.39294,20006100
2021-08-25,448.17,SPY,449.46,447.77,448.91,419.5651,40529700
2021-08-26,148.35,AAPL,149.12,147.51,147.54,144.03036,48597200
2021-08-26,300.99,MSFT,302.43,298.95,299.09,287.58524,17666100
2021-08-26,448.61,SPY,448.86,446.16,446.26,417.08832,57829600
