Date,Close,High,Low,Open,Volume,Ticker,SMA_50,SMA_200,EMA_50,Daily_Return,Cumulative_Return,BB_Mid,BB_Upper,BB_Lower,Volatility_20d
2021-06-30,133.5021,133.94073,132.43962,132.73204,63261400,AAPL,,,133.5,,,,,,
2021-07-01,133.80417,133.86266,132.33229,133.1511,52485800,AAPL,,,133.66,0.0023,0.0023,,,,
2021-07-02,136.42627,136.46526,134.27206,134.41827,78852600,AAPL,,,134.62,0.0196,0.0219,,,,
2021-07-06,138.43428,139.53574,136.53352,136.53352,108181800,AAPL,,,135.63,0.0147,0.037,,,,
2021-07-07,140.91988,141.2318,139.05809,139.91586,104911600,AAPL,,,136.77,0.018,0.0556,,,,
2021-07-08,139.62347,140.42276,137.11835,138.00539,105575500,AAPL,,,137.3,-0.0092,0.0459,,,,
2021-07-09,141.44624,141.9726,139.04834,139.14583,99890800,AAPL,,,137.96,0.0131,0.0596,,,,
2021-07-12,140.85165,142.62572,140.36427,142.5185,76299700,AAPL,,,138.38,-0.0042,0.0552,,,,
2021-07-13,141.96286,143.73692,140.00362,140.39351,100827100,AAPL,,,138.84,0.0079,0.0635,,,,
2021-07-14,145.38426,145.79367,143.95137,144.36078,127050800,AAPL,,,139.62,0.0241,0.0891,,,,
2021-07-15,144.73119,146.21281,143.37628,145.472,106820300,AAPL,,,140.18,-0.0045,0.0842,,,,
2021-07-16,142.6939,145.9788,142.19678,144.71164,93251400,AAPL,,,140.44,-0.0141,0.0689,,,,
2021-07-19,138.85336,140.43246,138.09306,140.12054,121434600,AAPL,,,140.29,-0.0269,0.0402,,,,
2021-07-20,142.46,143.38603,139.35056,139.83794,96350000,AAPL,,,140.49,0.026,0.0672,,,,
2021-07-21,141.72891,142.44049,140.97836,141.85564,74993500,AAPL,,,140.59,-0.0051,0.0618,,,,
2021-07-22,143.09361,144.45827,142.1286,142.25533,77338200,AAPL,,,140.8,0.0096,0.072,,,,
2021-07-23,144.80913,144.96509,143.21054,143.82463,71447400,AAPL,,,141.12,0.012,0.0849,,,,
2021-07-26,145.2283,146.04709,143.97087,144.52647,72434100,AAPL,,,141.43,0.0029,0.088,,,,
2021-07-27,143.06433,145.44273,141.87514,145.355,104818600,AAPL,,,141.55,-0.0149,0.0718,,,,
2021-07-28,141.3195,143.25926,138.9411,141.1538,118931200,AAPL,,,141.54,-0.0122,0.0587,141.02,147.87,134.17,
2021-07-29,141.96286,142.84988,140.92963,141.03685,56699500,AAPL,,,141.57,0.0046,0.0636,141.44,147.31,135.57,0.0144
2021-07-30,142.17729,142.63542,140.47148,140.73466,70440600,AAPL,,,141.61,0.0015,0.0652,141.86,146.51,137.21,0.0144
2021-08-02,141.84592,143.2398,141.58273,142.6647,62880000,AAPL,,,141.62,-0.0023,0.0627,142.13,146.01,138.25,0.0139
2021-08-03,143.63942,144.30225,141.51445,142.12856,64786600,AAPL,,,141.75,0.0126,0.0761,142.39,145.91,138.87,0.0138
2021-08-04,143.23979,144.05858,142.58672,143.55171,56368300,AAPL,,,141.84,-0.0028,0.0731,142.51,145.98,139.04,0.0133
2021-08-05,143.347,144.1073,142.47948,143.26901,46397700,AAPL,,,141.93,0.0007,0.0739,142.69,145.9,139.48,0.0131
2021-08-06,142.66367,143.6106,142.1658,142.86868,54126800,AAPL,,,141.98,-0.0048,0.0687,142.75,145.9,139.6,0.0128
2021-08-09,142.61488,143.21037,142.05846,142.72227,48908700,AAPL,,,142.02,-0.0003,0.0684,142.84,145.86,139.82,0.0128
2021-08-10,142.13655,144.19637,141.84369,142.95656,69023100,AAPL,,,142.02,-0.0034,0.0647,142.85,145.87,139.83,0.0127
2021-08-11,142.3903,143.22984,142.06815,142.57579,48493500,AAPL,,,142.04,0.0018,0.0667,142.7,145.47,139.93,0.0114
2021-08-12,145.34824,145.50444,142.37079,142.71246,72282600,AAPL,,,142.23,0.0208,0.0889,142.73,145.61,139.85,0.0124
2021-08-13,145.55324,145.88515,144.74298,145.42633,59375000,AAPL,,,142.41,0.0014,0.0904,142.87,146.01,139.73,0.0119
2021-08-16,147.52522,147.59357,142.98584,145.00659,103296000,AAPL,,,142.68,0.0135,0.1051,143.31,146.51,140.11,0.0102
2021-08-17,146.61734,148.07188,145.5435,146.65639,92229700,AAPL,,,142.89,-0.0062,0.0982,143.52,147.02,140.02,0.0088
2021-08-18,142.87846,147.13475,142.67345,146.23663,86326000,AAPL,,,142.89,-0.0255,0.0702,143.57,146.98,140.16,0.0106
2021-08-19,143.21034,144.47942,141.06268,141.58006,86960300,AAPL,,,142.9,0.0023,0.0727,143.58,146.99,140.17,0.0104
2021-08-20,144.6649,144.96753,143.28844,143.93274,60549600,AAPL,,,142.99,0.0102,0.0836,143.57,146.96,140.18,0.0103
2021-08-23,146.14879,146.61737,144.37207,144.78209,60131800,AAPL,,,143.15,0.0103,0.0948,143.62,147.13,140.11,0.0106
2021-08-24,146.06087,147.27138,145.60205,145.89491,48606400,AAPL,,,143.3,-0.0006,0.0941,143.77,147.44,140.1,0.0099
2021-08-25,144.83089,146.74426,144.28421,146.2464,58991300,AAPL,,,143.37,-0.0084,0.085,143.94,147.44,140.44,0.0097
2021-08-26,144.03036,145.57278,144.00108,144.8211,48597200,AAPL,,,143.4,-0.0055,0.079,144.05,147.43,140.67,0.0098
2021-08-27,145.06519,145.21161,143.33728,143.97182,55802400,AAPL,,,143.48,0.0072,0.0868,144.19,147.48,140.9,0.0099
2021-08-30,149.47763,149.83884,145.07492,145.45564,90956700,AAPL,,,143.77,0.0304,0.1198,144.57,148.43,140.71,0.0118
2021-08-31,148.2183,149.16524,147.69115,149.02856,86453100,AAPL,,,143.98,-0.0084,0.1104,144.8,148.96,140.64,0.0118
2021-09-01,148.88217,151.29341,148.71622,149.19456,80313700,AAPL,,,144.21,0.0045,0.1154,145.08,149.55,140.61,0.0118
2021-09-02,149.99501,151.03957,148.77475,150.20978,71115500,AAPL,,,144.48,0.0075,0.1238,145.42,150.31,140.53,0.0119
2021-09-03,150.62955,150.9517,149.44832,150.10239,57808700,AAPL,,,144.77,0.0042,0.1285,145.81,151.05,140.57,0.0117
2021-09-07,152.96274,153.51917,150.71745,151.28365,82278300,AAPL,,,145.14,0.0155,0.146,146.33,152.24,140.42,0.0121
2021-09-08,151.4203,153.30438,150.31718,153.24582,74420200,AAPL,,,145.43,-0.0101,0.1344,146.8,152.78,140.82,0.0123
2021-09-09,150.40504,152.39651,150.28789,151.79126,57305700,AAPL,143.81,,145.65,-0.0067,0.1268,147.2,153.01,141.39,0.0125
2021-09-10,145.42636,151.7815,145.16278,151.31293,140893200,AAPL,144.04,,145.64,-0.0331,0.0895,147.2,153.0,141.4,0.0142
2021-09-13,145.99255,147.81807,145.21158,147.04686,102404300,AAPL,144.29,,145.66,0.0039,0.0937,147.22,153.0,141.44,0.0142
2021-09-14,144.59656,147.4764,143.41534,146.77353,109296300,AAPL,144.45,,145.61,-0.0096,0.0832,147.08,152.97,141.19,0.014
2021-09-15,145.48492,145.88518,142.8882,145.02611,83281300,AAPL,144.59,,145.61,0.0061,0.0898,147.02,152.95,141.09,0.014
2021-09-16,145.25063,145.42635,143.71799,144.90897,68034100,AAPL,144.68,,145.59,-0.0016,0.0881,147.14,152.81,141.47,0.0127
2021-09-17,142.58559,145.27994,142.29272,145.27994,129868800,AAPL,144.74,,145.46,-0.0183,0.0682,147.11,152.88,141.34,0.0134
2021-09-20,139.53983,141.39462,137.90955,140.37936,123478900,AAPL,144.7,,145.2,-0.0214,0.0453,146.85,153.47,140.23,0.014
