Month,Ticker,Avg_Close,Avg_Volume,Monthly_Return,Avg_Volatility
2021-06,AAPL,133.5021,63261400.0,0.0,
2021-06,MSFT,259.9819,21656500.0,0.0,
2021-06,SPY,400.0781,64827900.0,0.0,
2021-07,AAPL,141.475,91382623.8095,0.0652,0.0144
2021-07,MSFT,270.1569,24889176.1905,0.0513,0.0091
2021-07,SPY,406.6525,67719271.4286,0.0246,0.0072
2021-08,AAPL,144.614,66433763.6364,0.043,0.0114
2021-08,MSFT,282.7032,20059495.4545,0.0609,0.0083
2021-08,SPY,415.4621,57000063.6364,0.0296,0.0059
2021-09,AAPL,144.7783,85611195.2381,-0.0687,0.0133
2021-09,MSFT,285.4547,23948509.5238,-0.067,0.0098
2021-09,SPY,415.1827,83121885.7143,-0.0469,0.006
2021-10,AAPL,142.1012,74527580.9524,0.0587,0.0125
2021-10,MSFT,291.8663,24595990.4762,0.1649,0.0147
2021-10,SPY,416.9855,71841200.0,0.0684,0.0091
2021-11,AAPL,150.7653,80525190.4762,0.1023,0.0113
2021-11,MSFT,323.2056,24280247.619,-0.0001,0.0116
2021-11,SPY,436.7042,63588166.6667,-0.0074,0.005
2021-12,AAPL,169.6716,111125759.0909,0.0752,0.0187
2021-12,MSFT,320.5914,28439763.6364,0.0203,0.0156
2021-12,SPY,438.0166,87610631.8182,0.0464,0.0112
2022-01,AAPL,166.0629,105422300.0,-0.0113,0.0166
2022-01,MSFT,297.409,47376570.0,-0.0747,0.0176
2022-01,SPY,428.9161,124258390.0,-0.0528,0.0096
2022-02,AAPL,166.2093,85658752.6316,-0.0535,0.0209
2022-02,MSFT,288.009,36686873.6842,-0.0335,0.0207
2022-02,SPY,416.3978,120946057.8947,-0.0283,0.0136
2022-03,AAPL,161.8195,94817395.6522,0.0602,0.019
2022-03,MSFT,285.4826,31927573.913,0.0361,0.0229
2022-03,SPY,412.8406,103518673.913,0.0394,0.0153
2022-04,AAPL,163.2982,84389780.0,-0.0975,0.0177
2022-04,MSFT,278.7844,31367170.0,-0.0989,0.0199
2022-04,SPY,413.2344,92837870.0,-0.0894,0.012
2022-05,AAPL,145.4657,114335252.381,-0.0462,0.0286
2022-05,MSFT,257.7215,35376285.7143,-0.0123,0.0274
2022-05,SPY,380.6911,115165623.8095,0.0062,0.0199
2022-06,AAPL,137.0475,83290466.6667,-0.0789,0.0272
2022-06,MSFT,251.0739,29589157.1429,-0.0519,0.0218
2022-06,SPY,367.9749,93267233.3333,-0.0823,0.0188
2022-07,AAPL,146.7251,72356270.0,0.1759,0.0193
2022-07,MSFT,253.7003,26744590.0,0.0939,0.0207
2022-07,SPY,369.6634,71887420.0,0.0898,0.0149
2022-08,AAPL,163.7896,65662591.3043,-0.0288,0.0165
2022-08,MSFT,271.7262,20745982.6087,-0.0666,0.0199
2022-08,SPY,393.5015,62756278.2609,-0.04,0.0118
2022-09,AAPL,150.2002,99272514.2857,-0.123,0.0194
2022-09,MSFT,240.1764,27408885.7143,-0.1124,0.0168
2022-09,SPY,364.9826,95186123.8095,-0.0947,0.0144
2022-10,AAPL,142.3571,88959033.3333,0.1114,0.0239
2022-10,MSFT,229.83,31963100.0,0.006,0.0238
2022-10,SPY,353.6553,96415809.5238,0.0815,0.0177
2022-11,AAPL,143.3757,82135604.7619,-0.0245,0.0313
2022-11,MSFT,230.377,29299809.5238,0.1052,0.031
2022-11,SPY,372.2686,83142157.1429,0.0573,0.0173
2022-12,AAPL,135.5757,79796723.8095,-0.1268,0.0222
2022-12,MSFT,238.8428,28159938.0952,-0.059,0.0217
2022-12,SPY,372.3625,82665409.5238,-0.0579,0.0137
2023-01,AAPL,133.513,72182625.0,0.1076,0.0195
2023-01,MSFT,230.7129,33308405.0,0.0366,0.0194
2023-01,SPY,377.402,78772505.0,0.062,0.0112
2023-02,AAPL,148.5918,68799942.1053,0.0255,0.0155
2023-02,MSFT,252.8032,32394789.4737,0.0129,0.0214
2023-02,SPY,389.2363,84373405.2632,-0.0248,0.0104
2023-03,AAPL,152.6112,66098547.8261,0.1144,0.0149
2023-03,MSFT,260.0086,32505869.5652,0.1482,0.0171
2023-03,SPY,379.3651,109391121.7391,0.038,0.0107
2023-04,AAPL,162.5391,51040863.1579,0.03,0.012
2023-04,MSFT,281.3542,29027368.4211,0.068,0.0163
2023-04,SPY,394.4157,73462131.5789,0.0164,0.0084
2023-05,AAPL,170.141,57971122.7273,0.0466,0.0138
2023-05,MSFT,306.8824,27311677.2727,0.0708,0.0187
2023-05,SPY,397.2566,80950413.6364,0.0055,0.0086
2023-06,AAPL,181.7356,61780157.1429,0.0911,0.0092
2023-06,MSFT,326.9259,26081057.1429,0.0387,0.0152
2023-06,SPY,417.0064,83328642.8571,0.0633,0.0072
2023-07,AAPL,189.7513,49805700.0,0.0132,0.0093
2023-07,MSFT,333.794,33337340.0,-0.0107,0.0155
2023-07,SPY,433.0019,68734925.0,0.0326,0.0058
2023-08,AAPL,178.736,57506860.8696,-0.0407,0.0136
2023-08,MSFT,317.3361,20846791.3043,-0.021,0.0151
