Date,AAPL_Return,MSFT_Return,SPY_Return
2021-07-01,0.0023,0.0026,0.0055
2021-07-02,0.0196,0.0223,0.0076
2021-07-06,0.0147,0.0,-0.0018
2021-07-07,0.018,0.0082,0.0035
2021-07-08,-0.0092,-0.009,-0.0081
2021-07-09,0.0131,0.0019,0.0107
2021-07-12,-0.0042,-0.0022,0.0036
2021-07-13,0.0079,0.0132,-0.0034
2021-07-14,0.0241,0.0054,0.0015
2021-07-15,-0.0045,-0.0052,-0.0034
2021-07-16,-0.0141,-0.001,-0.0078
2021-07-19,-0.0269,-0.0133,-0.0148
2021-07-20,0.026,0.0083,0.0143
2021-07-21,-0.0051,0.0074,0.0081
2021-07-22,0.0096,0.0168,0.0021
2021-07-23,0.012,0.0123,0.0103
2021-07-26,0.0029,-0.0021,0.0025
2021-07-27,-0.0149,-0.0087,-0.0046
2021-07-28,-0.0122,-0.0011,-0.0004
2021-07-29,0.0046,0.001,0.0041
2021-07-30,0.0015,-0.0055,-0.0049
2021-08-02,-0.0023,-0.0003,-0.0021
2021-08-03,0.0126,0.0081,0.0081
2021-08-04,-0.0028,-0.0021,-0.0049
2021-08-05,0.0007,0.0105,0.0063
2021-08-06,-0.0048,-0.0002,0.0017
2021-08-09,-0.0003,-0.0039,-0.0008
2021-08-10,-0.0034,-0.0066,0.0012
2021-08-11,0.0018,0.0018,0.0025
2021-08-12,0.0208,0.01,0.003
2021-08-13,0.0014,0.0105,0.0018
2021-08-16,0.0135,0.006,0.0024
2021-08-17,-0.0062,-0.0052,-0.0066
2021-08-18,-0.0255,-0.0061,-0.0109
2021-08-19,0.0023,0.0208,0.0015
2021-08-20,0.0102,0.0256,0.008
2021-08-23,0.0103,0.001,0.0088
2021-08-24,-0.0006,-0.0067,0.0016
2021-08-25,-0.0084,-0.002,0.0021
2021-08-26,-0.0055,-0.0097,-0.0059
2021-08-27,0.0072,0.0021,0.0089
2021-08-30,0.0304,0.0129,0.0044
2021-08-31,-0.0084,-0.0056,-0.0015
2021-09-01,0.0045,-0.0002,0.0005
2021-09-02,0.0075,-0.0023,0.0031
2021-09-03,0.0042,0.0,-0.0002
2021-09-07,0.0155,-0.0032,-0.0036
2021-09-08,-0.0101,0.0001,-0.0012
2021-09-09,-0.0067,-0.0099,-0.0043
2021-09-10,-0.0331,-0.0052,-0.0079
2021-09-13,0.0039,0.0043,0.0026
2021-09-14,-0.0096,0.0094,-0.0054
2021-09-15,0.0061,0.0168,0.0084
2021-09-16,-0.0016,0.0013,-0.0016
2021-09-17,-0.0183,-0.0175,-0.0097
2021-09-20,-0.0214,-0.0186,-0.0167
2021-09-21,0.0034,0.0017,-0.0009
2021-09-22,0.0169,0.0128,0.0098
2021-09-23,0.0067,0.0033,0.0122
2021-09-24,0.0006,-0.0007,0.0016
2021-09-27,-0.0106,-0.0173,-0.0029
